# Rough Heston cross-validation
# S0=1.0, r=0, V0=theta
# Loaded CSVs:
#   Octave       → 42 cases  [VALID]
#   WS-Pade      → 42 cases  [VALID]
#   Julia        → 42 cases  [VALID]
#   roughprix    → 1 cases  [INVALID (excluded from ball)]
#   R-Adams      → file not found — run r_adams grid first  [INVALID (excluded from ball)]
#   qipc         → file not found — run qipc grid first  [INVALID (excluded from ball)]
# Consensus tolerance: 0.01 (one penny per unit spot)
# Reference ball: midpoint = mean of N valid samples (even weights),
#                 radius   = sample standard deviation (ddof=1) of valid samples

case_id,Octave_call,Octave_put,WS-Pade_call,WS-Pade_put,Julia_call,Julia_put,roughprix_call,roughprix_put,R-Adams_call,R-Adams_put,qipc_call,qipc_put,n,mid_call,spread_call,radius_call,mid_put,spread_put,radius_put,max_call_diff,max_put_diff
M2_T0.01923077_K0.900,0.100016875812,0.000016875812,0.100016976626,0.000016976626,0.100016975104,0.000016975104,ERR,ERR,ERR,ERR,ERR,ERR,3,0.100016942514,0.000000066702,0.000000057771,0.000016942514,0.000000066702,0.000000057771,1.01e-07,1.01e-07
M2_T0.01923077_K0.950,0.050707686358,0.000707686358,0.050708925769,0.000708925769,0.050708916040,0.000708916040,ERR,ERR,ERR,ERR,ERR,ERR,3,0.050708509389,0.000000823031,0.000000712782,0.000708509389,0.000000823031,0.000000712782,1.24e-06,1.24e-06
M2_T0.01923077_K1.000,0.010928756073,0.010928756073,0.010928379218,0.010928379218,0.010928363515,0.010928363515,ERR,ERR,ERR,ERR,ERR,ERR,3,0.010928499602,0.000000256471,0.000000222249,0.010928499602,0.000000256471,0.000000222249,3.93e-07,3.93e-07
M2_T0.01923077_K1.050,0.000147562659,0.050147562659,0.000146575313,0.050146575313,0.000146615396,0.050146615396,ERR,ERR,ERR,ERR,ERR,ERR,3,0.000146917789,0.000000644870,0.000000558833,0.050146917789,0.000000644870,0.000000558833,9.87e-07,9.87e-07
M2_T0.01923077_K1.100,ERR,ERR,0.000000014345,0.100000014345,0.000000013839,0.100000013839,ERR,ERR,ERR,ERR,ERR,ERR,2,0.000000014092,0.000000000253,0.000000000358,0.100000014092,0.000000000253,0.000000000358,5.06e-10,5.06e-10
M2_T0.01923077_K1.200,ERR,ERR,0,0.200000000017,0,0.200000000000,ERR,ERR,ERR,ERR,ERR,ERR,2,0,0,0,0.200000000008,0,0,1.70e-11,1.70e-11
M2_T1.00000000_K0.800,0.216548420289,0.016548420289,0.216548543407,0.016548543407,0.216560068327,0.016560068327,ERR,ERR,ERR,ERR,ERR,ERR,3,0.216552344008,0.000007724319,0.000006689740,0.016552344008,0.000007724319,0.000006689740,1.16e-05,1.16e-05
M2_T1.00000000_K0.900,0.137921700733,0.037921700733,0.137923653663,0.037923653663,0.137929402984,0.037929402984,ERR,ERR,ERR,ERR,ERR,ERR,3,0.137924919127,0.000004483857,0.000004004025,0.037924919127,0.000004483857,0.000004004025,7.70e-06,7.70e-06
M2_T1.00000000_K0.950,0.104526978694,0.054526978694,0.104530076366,0.054530076366,0.104528480549,0.054528480549,ERR,ERR,ERR,ERR,ERR,ERR,3,0.104528511870,0.000001564496,0.000001549073,0.054528511870,0.000001564496,0.000001549073,3.10e-06,3.10e-06
M2_T1.00000000_K1.000,0.075931148627,0.075931148627,0.075934018150,0.075934018150,0.075923861053,0.075923861053,ERR,ERR,ERR,ERR,ERR,ERR,3,0.075929675943,0.000005814890,0.000005236244,0.075929675943,0.000005814890,0.000005236244,1.02e-05,1.02e-05
M2_T1.00000000_K1.050,0.052527555041,0.102527555041,0.052527792763,0.102527792763,0.052510317494,0.102510317494,ERR,ERR,ERR,ERR,ERR,ERR,3,0.052521888433,0.000011570939,0.000010021432,0.102521888433,0.000011570939,0.000010021432,1.75e-05,1.75e-05
M2_T1.00000000_K1.100,0.034382543920,0.134382543920,0.034377824479,0.134377824479,0.034356541641,0.134356541641,ERR,ERR,ERR,ERR,ERR,ERR,3,0.034372303347,0.000015761706,0.000013852502,0.134372303347,0.000015761706,0.000013852502,2.60e-05,2.60e-05
M2_T1.00000000_K1.200,0.012223889285,0.212223889285,0.012209223712,0.212209223712,0.012192745924,0.212192745924,ERR,ERR,ERR,ERR,ERR,ERR,3,0.012208619640,0.000015873716,0.000015580466,0.212208619640,0.000015873716,0.000015580466,3.11e-05,3.11e-05
