omega,Re_Phi,Im_Phi
0.000000000,224.6222187,-0.07479064685
0.02343750000,-0.03941749849,-10.20963576
0.04687500000,3.510420007,-2.674718212
0.07031250000,0.04336600472,-2.258372331
0.09375000000,2.083352554,-2.442110388
0.1171875000,0.9394093399,-0.6326273556
0.1406250000,1.001438067,-1.763559583
0.1640625000,1.496198514,-0.4757480256
0.1875000000,0.5702314063,-0.8256528772
0.2109375000,1.430466362,-0.6889571461
0.2343750000,0.7151990406,-0.1289923301
0.2578125000,0.9883997420,-0.6685061753
0.2812500000,1.018342708,0.08119020563
0.3046875000,0.6110034918,-0.3068721543
0.3281250000,1.089104566,-0.03489924307
0.3515625000,0.5442384264,0.1335132297
0.3750000000,0.8537193916,-0.1291379567
0.3984375000,0.6911248133,0.3584919092
0.4218750000,0.5310178301,0.004211426318
0.4453125000,0.7813845330,0.3156779754
0.4687500000,0.3679029982,0.2868508911
0.4921875000,0.6555232066,0.1931488552
0.5156250000,0.4062541515,0.4936497018
0.5390625000,0.3919821423,0.1983465708
0.5625000000,0.4838189025,0.4968352211
0.5859375000,0.1891152775,0.3585345970
0.6093750000,0.4279686617,0.3741041118
0.6328125000,0.1529226514,0.5265578322
0.6562500000,0.2279030393,0.3005599057
0.6796875000,0.2080269771,0.5549340919
0.7031250000,0.02224866126,0.3613666057
0.7265625000,0.2006271427,0.4446705036
0.7500000000,-0.05999093602,0.4800663593
0.7734375000,0.06569299031,0.3254030625
0.7968750000,-0.02787733984,0.5186621122
0.8203125000,-0.1169142078,0.3082610007
0.8437500000,-0.001144715898,0.4277067576
0.8671875000,-0.2207498392,0.3753385885
0.8906250000,-0.07298546357,0.2883329861
0.9140625000,-0.2078591961,0.4142221435
0.9375000000,-0.2155241323,0.2151880573
0.9609375000,-0.1580058102,0.3464959799
0.9843750000,-0.3208993304,0.2348743444
1.007812500,-0.1727026741,0.2077565154
1.031250000,-0.3218071255,0.2683720440
1.054687500,-0.2660881272,0.1006451618
1.078125000,-0.2582207924,0.2258250244
1.101562500,-0.3579774362,0.08184393665
1.125000000,-0.2252729842,0.1040448423
1.148437500,-0.3672489529,0.1076505813
1.171875000,-0.2675978197,-0.01620852206
1.195312500,-0.2983859947,0.09051274176
1.218750000,-0.3363719682,-0.06187540232
1.242187500,-0.2300303626,-0.002578667728
1.265625000,-0.3495623222,-0.04368928491
1.289062500,-0.2255141029,-0.1178397786
1.312500000,-0.2831006076,-0.03688651452
1.335937500,-0.2668303310,-0.1779368927
1.359375000,-0.1931732185,-0.09438644946
1.382812500,-0.2809639445,-0.1659344125
1.406250000,-0.1507497245,-0.1904836979
1.429687500,-0.2236331478,-0.1383409257
1.453125000,-0.1649436909,-0.2534400922
1.476562500,-0.1262488227,-0.1581766236
1.500000000,-0.1785633715,-0.2457304444
1.523437500,-0.05787710078,-0.2257423561
1.546875000,-0.1358001642,-0.2020417842
1.570312500,-0.04894178608,-0.2821482994
1.593750000,-0.04401071376,-0.1866208834
1.617187500,-0.06183154869,-0.2770990981
1.640625000,0.03712747256,-0.2213859455
1.664062500,-0.03738605583,-0.2232451566
1.687500000,0.06282450589,-0.2648047413
1.710937500,0.03802131224,-0.1787306166
1.734375000,0.05011929095,-0.2614849797
1.757812500,0.1192448322,-0.1812511154
1.781250000,0.05451309682,-0.2041385079
1.804687500,0.1543238962,-0.2085088474
1.828125000,0.1059345284,-0.1394011286
1.851562500,0.1410472982,-0.2068392521
1.875000000,0.1765234748,-0.1142787620
1.898437500,0.1258446611,-0.1527839043
1.921875000,0.2138541805,-0.1252641656
1.945312500,0.1493901317,-0.07814132723
1.968750000,0.1995385610,-0.1258996347
1.992187500,0.2016371877,-0.03286434005
2.015625000,0.1673378220,-0.08133087521
2.039062500,0.2353463749,-0.02993203725
2.062500000,0.1629189625,-0.007216389537
2.085937500,0.2201619222,-0.03394195634
2.109375000,0.1926827619,0.04920838209
2.132812500,0.1754145447,-0.003793686024
2.156250000,0.2188050072,0.06209392275
2.179687500,0.1463933542,0.06049040364
2.203125000,0.2037006529,0.05365397536
2.226562500,0.1531330684,0.1189266631
2.250000000,0.1521939124,0.06626100776
2.273437500,0.1698598575,0.1371473808
2.296875000,0.1046525624,0.1135622268
2.320312500,0.1564805413,0.1236685515
2.343750000,0.09099092848,0.1659763325
2.367187500,0.1046478280,0.1177736492
2.390625000,0.09853641034,0.1851605322
2.414062500,0.04638723780,0.1437690439
2.437500000,0.08894490238,0.1668217587
2.460937500,0.01730744657,0.1841604741
2.484375000,0.04308838353,0.1437107723
2.507812500,0.01746309750,0.2008949150
2.531250000,-0.01750502233,0.1471830470
2.554687500,0.01372998664,0.1788389960
2.578125000,-0.05568258871,0.1721201873
2.601562500,-0.02074303650,0.1418514188
2.625000000,-0.06019266329,0.1843849760
2.648437500,-0.07581119585,0.1245520303
2.671875000,-0.05644489295,0.1606909958
2.695312500,-0.1165084140,0.1332816932
2.718750000,-0.07566976529,0.1147689967
2.742187500,-0.1227403167,0.1405708391
2.765625000,-0.1188356816,0.08091345411
2.789062500,-0.1107469326,0.1180237611
2.812500000,-0.1561944672,0.07507453257
2.835937500,-0.1128463600,0.06906202010
2.859375000,-0.1616363273,0.07821869485
2.882812500,-0.1398925529,0.02454931657
2.906250000,-0.1417715525,0.05991462592
2.929687500,-0.1695212152,0.007574582171
2.953125000,-0.1270383815,0.01399866961
2.976562500,-0.1725767761,0.008329463265
