t,theta,theta_prime,Re_zeta,Im_zeta
536.3182881,923.9118836,2.223425297,2.231590196,-0.6505157828
536.5667777,924.4644106,2.223656906,1.351304782,-1.495993022
536.8152674,925.0169952,2.223888408,0.2090310522,-1.135549297
537.0637571,925.5696372,2.224119802,-0.01000617080,-0.02575230377
537.3122467,926.1223367,2.224351090,0.8142392510,0.6157773679
537.5607364,926.6750937,2.224582270,1.681270895,0.1597603964
537.8092260,927.2279081,2.224813344,1.614608612,-0.7960890375
538.0577157,927.7807799,2.225044311,0.7163599448,-1.142994707
538.3062054,928.3337091,2.225275172,0.003404446809,-0.4919624386
538.5546950,928.8866957,2.225505925,0.2626160274,0.4321431157
538.8031847,929.4397395,2.225736573,1.207836650,0.6161037774
539.0516744,929.9928407,2.225967114,1.829663346,-0.1492925097
539.3001640,930.5459992,2.226197548,1.491773329,-1.098159003
539.5486537,931.0992149,2.226427877,0.5474632714,-1.358794878
539.7971433,931.6524878,2.226658100,-0.1452678086,-0.8449208580
540.0456330,932.2058179,2.226888216,-0.1796526119,-0.2033533488
540.2941227,932.7592052,2.227118227,0.07511836224,0.02272856373
540.5426123,933.3126496,2.227348132,0.07844543348,-0.02083722478
540.7911020,933.8661512,2.227577931,-0.1567997053,0.1657478136
541.0395917,934.4197098,2.227807625,-0.1365222990,0.6595696083
541.2880813,934.9733255,2.228037213,0.3393374224,0.9310320676
541.5365710,935.5269982,2.228266696,0.7170174064,0.5652789934
541.7850607,936.0807279,2.228496074,0.2589243556,0.02961517607
542.0335503,936.6345147,2.228725346,-0.8940815853,0.4208112481
542.2820400,937.1883584,2.228954513,-1.458044290,2.239842183
542.5305296,937.7422590,2.229183576,-0.1036585146,4.477254398
542.7790193,938.2962165,2.229412533,3.044675251,5.186797800
543.0275090,938.8502309,2.229641386,6.114616433,3.229898684
543.2759986,939.4043022,2.229870134,6.926795332,-0.4724366293
543.5244883,939.9584303,2.230098777,4.920453764,-3.529324125
543.7729780,940.5126152,2.230327316,1.699842106,-4.084296951
544.0214676,941.0668568,2.230555751,-0.3808280230,-2.361975917
544.2699573,941.6211552,2.230784081,-0.2552521297,-0.2944831342
544.5184470,942.1755104,2.231012307,1.127669291,0.3516551366
544.7669366,942.7299222,2.231240429,1.979973555,-0.5100568857
545.0154263,943.2843907,2.231468446,1.465195813,-1.528664688
545.2639159,943.8389159,2.231696360,0.3164511944,-1.487052837
545.5124056,944.3934977,2.231924170,-0.1799232241,-0.5008083867
545.7608953,944.9481361,2.232151876,0.3894546999,0.3093419673
546.0093849,945.5028310,2.232379479,1.241958664,0.1454189998
546.2578746,946.0575825,2.232606978,1.385399823,-0.6491649107
546.5063643,946.6123905,2.232834374,0.7144078529,-1.095682540
546.7548539,947.1672550,2.233061666,0.01655233437,-0.7217361452
547.0033436,947.7221760,2.233288855,-0.01024495323,-0.01740578974
547.2518333,948.2771534,2.233515940,0.4632958947,0.2434555427
547.5003229,948.8321872,2.233742923,0.6986336399,-0.04983105079
547.7488126,949.3872775,2.233969803,0.3528081421,-0.2552415243
547.9973022,949.9424240,2.234196579,-0.07230501609,0.1762249317
548.2457919,950.4976270,2.234423253,0.1596387656,0.9537119098
548.4942816,951.0528862,2.234649825,1.071517596,1.218975909
548.7427712,951.6082017,2.234876293,1.833004410,0.5557315926
548.9912609,952.1635735,2.235102659,1.651734251,-0.4411650333
549.2397506,952.7190015,2.235328923,0.7028801248,-0.7479116601
