tau,Re_zeta,Re_zeta_st
16.47620291,1.065886066,6.972630661
16.70605321,0.6549372331,5.961340630
16.93667378,0.2945704423,5.053502482
17.16805985,0.05655923466,4.377705013
17.40020676,-0.01618044839,4.019007333
17.63310985,0.08069439513,4.005112325
17.86676456,0.3117941679,4.304413039
18.10116637,0.6099328951,4.836122891
18.33631082,0.8916800756,5.489713530
18.57219348,1.077259103,6.148636550
18.80881000,1.110381978,6.712507260
19.04615608,0.9734116974,7.112814377
19.28422744,0.6940872916,7.319444875
19.52301989,0.3417990622,7.338083503
19.76252925,0.01371279235,7.200924264
20.00275143,-0.1865892126,6.954398560
20.24368234,-0.1734007996,6.647542477
20.48531798,0.09936000462,6.323479730
20.72765436,0.6241312981,6.014918409
20.97068755,1.337081257,5.743212662
21.21441368,2.128087120,5.519829370
21.45882889,2.861667343,5.348997960
21.70392939,3.404596308,5.230613208
21.94971141,3.654189379,5.162738738
22.19617124,3.560839748,5.143132891
22.44330520,3.139479708,5.169190956
22.69110965,2.467037535,5.235871653
22.93958099,1.666150243,5.331808755
23.18871567,0.8786366547,5.434859670
23.43851015,0.2347493498,5.509380592
23.68896096,-0.1746354613,5.507879410
23.94006464,-0.3162984300,5.378844287
24.19181779,-0.2190362745,5.080435764
24.44421701,0.03694600014,4.596990381
24.69725898,0.3429605879,3.953043134
24.95094039,0.5913068350,3.218994725
25.20525795,0.7037737966,2.504248383
25.46020843,0.6518040964,1.937317513
25.71578863,0.4629973208,1.636853081
25.97199536,0.2121245775,1.681100542
26.22882548,-0.001099675098,2.084554892
26.48627588,-0.08164008007,2.788979394
26.74434347,0.03184703312,3.672021680
27.00302522,0.3466914772,4.571775676
27.26231809,0.8105504956,5.321412537
27.52221909,1.322573416,5.785636456
27.78272527,1.758992388,5.890608380
28.04383368,2.006649684,5.640752034
28.30554143,1.995484665,5.118746421
28.56784564,1.720876894,4.468299828
28.83074345,1.249120531,3.862563352
29.09423204,0.7036509088,3.464054135
29.35830863,0.2348494781,3.384413067
29.62297043,-0.01908166013,3.653602984
29.88821471,0.03012257579,4.207425609
30.15403874,0.3947826851,4.898885438
30.42043984,1.004613650,5.533141216
30.68741533,1.721999188,5.918869693
30.95496257,2.375859374,5.923030626
31.22307895,2.805534446,5.513577915
31.49176187,2.903060262,4.776981370
31.76100875,2.642291799,3.904177261
32.03081705,2.086634473,3.147676349
32.30118424,1.372853066,2.760965206
32.57210783,0.6750116139,2.936236252
32.84358532,0.1582145728,3.756447006
33.11561426,-0.06516033285,5.173154782
33.38819222,0.03543621371,7.014382099
33.66131677,0.4024602581,9.019339803
